cell	layer	head	side	mean	p99	p99_5	max	max_pos
108	55	2	K	0.000123238	0.0009831	0.001531	0.003855	86
109	55	2	V	0.000178007	0.002055	0.004697	0.03989	191
110	55	3	K	0.000216513	0.002363	0.003397	0.01203	1509
111	55	3	V	0.000125101	0.0009958	0.001198	0.003991	186
112	59	0	K	0.000136331	0.00113	0.001433	0.005919	1784
113	59	0	V	9.86582e-05	0.0006715	0.0008606	0.002415	1419
114	59	1	K	0.000265555	0.002834	0.004086	0.0267	741
115	59	1	V	0.000189031	0.001431	0.002123	0.004099	169
116	59	2	K	0.000176513	0.001718	0.002613	0.007474	814
117	59	2	V	0.000129658	0.001021	0.001433	0.001984	783
118	59	3	K	0.000205489	0.001983	0.002724	0.02421	516
119	59	3	V	0.000182265	0.001423	0.002064	0.01029	169
120	63	0	K	0.000174894	0.001928	0.002906	0.01685	2025
121	63	0	V	0.000219217	0.00153	0.001927	0.003139	1702
122	63	1	K	0.000106112	0.0007957	0.001145	0.006946	917
123	63	1	V	0.000294114	0.002179	0.002887	0.005633	1377
124	63	2	K	8.33498e-05	0.0007325	0.001208	0.005352	590
125	63	2	V	0.000777283	0.005301	0.006486	0.01543	525
126	63	3	K	0.000100467	0.001224	0.001559	0.003659	1641
127	63	3	V	0.00113225	0.008267	0.009723	0.01544	191
